manufacturer,model,scale_or_type,wingspan_mm,length_mm,wing_area_dm2,dry_weight_kg,dry_weight_definition,max_takeoff_weight_kg,recommended_thrust_N,construction,retracts,source_url,notes
CARF Models,UltraFlash EVO,sport/speed jet,1800,2065,,10-13,'22 - 28 Lbs (10 - 13 kg) dry',,80-160,"composite, painted in mould; wood structure in fuselage; carbon and stainless parts","yes (factory-installed electric, electric brakes)",https://carf-models.com/en/products/uf-evo,Manufacturer calls it 'a racing thoroughbred' at full throttle; no speed figure published. 7-8 digital servos.
BVM Jets,Bandit ARF,sport jet,1753,1854,55.5,8.6-9.5,'FINISHED WEIGHT 19-21 lbs' (fuel state not stated),,58-89,"fiberglass fuselage, balsa wing ('Vess Designed' airfoil), full-flow internal ducting",,http://bvmjets.com/JetKits/BanditARF/bandit_arf_manual.pdf ; https://www.motorsandrotors.co/index.php?main_page=product_info&products_id=4,"Weight, thrust and speed limit from BVM manual; span 69 in, length 73 in, area 860 sq in from retailer motorsandrotors (converted: in x 25.4, sq in x 0.064516 dm2; lb x 0.45359; lbf x 4.44822). Manual: designed for 13-20 lb thrust turbines, 'Limit Maximum Speed to 200 MPH and Max Thrust to 20lbs' (200 mph = 322 km/h); cruise about 100 mph. Retracts not stated."
BVM Jets,Ultra Bandit Evolution,sport jet,2159,2489,,15,'15 kg (dry)',,160-200,one-piece fuselage (material not stated),,https://lduaerosports.com.au/product/ultra-bandit-evolution/,"RETAILER source (Land Down Under Aerosports). Span 85 in, length 98 in converted to mm. Hinged flaps, trailing-link struts; landing gear type not detailed."
Skymaster,F-16 ARF Plus Pro 1/5,1/5 scale,2045,3061,,20.4-21.8,'Dry weight: 45-48Lbs',,>=200,,,https://pacificrcjets.com/products/skymaster-1-5-f-16-arf-plus-pro,"RETAILER source (skymasterjets.net page had an expired TLS certificate). Thrust published as '45+ Lbs thrust' (converted x 4.44822); recommended engine KingTech 250. A search snippet (chiefaircraft) gave '36-45 lb thrust, Turbine 180N and Up'. 7-11 servos."
Tomahawk Aviation,F-86 Sabre 1/3.7,1/3.7 scale,3100,3000,,28,'28kg (ready to fly)' (fuel state not stated),,180-220,fibreglass / carbon,,https://tomahawk-aviation-usa.com/f-86-sabre-scale-jet/,Tomahawk Aviation USA site. Above 25 kg even before fuel if 28 kg is dry.
Tomahawk Aviation,F-100F Super Sabre 1/4.6,1/4.6 scale,2550,3000,,22-24,'22 - 24kg (dry)',,220,"fibreglass / carbon sandwich composite, carbon reinforced",,https://tomahawk-aviation-usa.com/f-100f-super-sabre-scale/,Page mentions gear doors and gear-door linkage set; retract units not specified. Search snippet: 'can be built under 25kg flying weight'.
Tomahawk Aviation,Futura V3,sport jet,2600,3050,,19,'Takeoff weight dry with standard pipe (non-3D): 19 kg',<25,180-300,fibreglass sandwich / carbon; Airex formers with carbon,,https://tomahawk-aviation-usa.com/futura-v3/,Also published: 'Empty weight: 11 kg'; 'Takeoff weight dry 3D version with Jetcat P300: 20.5 kg'; 'a takeoff weight of less than 25 kg can be easily achieved'. Two-piece fuselage (1.70 m + 1.35 m). Retracts not specified.
Elite Aerosports (Elite Aerotech),EA Havoc,sport jet,2800,3450,,22.7,'50Lbs Dry',,200-300,"all composite, carbon fiber reinforced layup",yes (Electron electric gear),https://www.eliteaerosports.com/products/ea-havoc,"Published 2.8 m / 110 in span, 3.45 m / 134 in length. 50 lb converted x 0.45359."
Elite Aerosports (Elite Aerotech),EA BDXL,sport jet,3500,3700,,36.7,'81 Lbs Dry',,320,"all composite, carbon fiber reinforced layup",yes (Electron ER50),https://www.eliteaerosports.com/products/ea-bdxl,Above 25 kg class. Manufacturer: 'can fly very slow or exceed speeds of 200mph in an instant'. 81 lb converted x 0.45359.
Jetlegend,F-86 Sabre 1/5.8,1/5.8 scale,2010,1980,,13.4,"'13,4kg' with JetCat P100 (listed as dry weight)",,98-137,composite ARF/PNP,optional (pneumatic retracts optional for ARF; scale gear included),https://www.final-modellbau.de/en/jets/jetlegend/jetlegend-f-86-sabre-1-5-8.html,RETAILER source (Final Modellbau). Thrust published as '10-14kg' (converted x 9.80665).
